subject,grade,topic,subtopic_az,rub,questions,subtopic_en,subtopic_ru
Fizika,9,"Atom, nüvə və müasir fizika",Astrofizika,4,5,,
Fizika,9,"Atom, nüvə və müasir fizika",Atom və nüvə modeli,4,6,,
Fizika,9,"Atom, nüvə və müasir fizika",Fotoeffekt,4,5,,
Fizika,9,"Atom, nüvə və müasir fizika",Foton,4,5,,
Fizika,9,"Atom, nüvə və müasir fizika",Kosmologiya,4,5,,
Fizika,9,"Atom, nüvə və müasir fizika",Mexaniki rəqslər,4,7,,
Fizika,9,"Atom, nüvə və müasir fizika",Radioaktiv çevrilmələr və nüvə reaksiyaları,4,6,,
Fizika,9,"Atom, nüvə və müasir fizika",Superpozisiya prinsipi,4,6,,
Fizika,9,"Atom, nüvə və müasir fizika",Ulduzlar və qalaktikalar,4,5,,
Fizika,9,Elektrik və maqnit hadisələri,Elektromaqnit sahəsinin yüklü zərrəciyə təsiri,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,İmpuls,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,İmpulsun saxlanması qanunu,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Kondensatorların birləşdirilməsi,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Mexaniki enerjinin saxlanması,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,"Mexaniki iş, enerji və güc",2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Sabit cərəyan dövrələri,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Təzyiq,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Yarımkeçirici cihazlar,2,5,,
Fizika,9,Elektrik və maqnit hadisələri,Yarımkeçiricilər,2,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Dinamika,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Düzxətli bərabərsürətli və dəyişənsürətli hərəkət,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Elektrik potensialı və potensiallar fərqi,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Elektrik sahəsi,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Elektrik sahəsinin intensivliyi,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Elektrik tutumu,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Hərəkət tənlikləri,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Kinematika,1,5,,
Fizika,9,Fiziki kəmiyyətlər və mexanika,Kondensator,1,5,,
